datetime,temperature,humidity,sound,lux
2019-12-23T16-18-15,,0,0,635,472.738176
2019-12-23T16-18-25,,26.6,31.0,581,472.189824
2019-12-23T16-21-57,,26.6,30.0,367,485.67993599999994
2019-12-23T16-22-07,,0,0,777,485.70278399999995
2019-12-23T16-22-17,,26.4,30.0,1427,485.53958399999993
2019-12-23T16-23-22,,26.5,30.0,357,485.34047999999996
2019-12-23T16-23-32,,26.4,30.0,1410,485.25888
2019-12-23T16-23-43,,26.3,30.0,1737,484.93248
2019-12-23T16-23-53,,0,0,1411,475.267776
2019-12-23T16-24-03,,0,0,677,484.93248
2019-12-23T16-24-14,,26.3,30.0,357,485.28825599999993
2019-12-23T16-24-24,,0,0,1406,485.236032
2019-12-23T16-24-34,,26.1,30.0,1011,483.679104
2019-12-23T16-24-45,,26.1,30.0,1084,484.46572799999996
2019-12-23T16-24-55,,0,0,1041,484.79212799999993
2019-12-23T16-25-05,,0,0,1147,484.488576
2019-12-23T16-32-29,,24.8,39.0,1749,479.096448
2019-12-23T16-33-16,,0,0,1587,479.096448
2019-12-23T16-34-12,,24.5,32.0,1359,482.298432
2019-12-23T16-34-15,,0,0,535,481.972032
2019-12-23T16-34-19,,24.5,36.0,354,481.890432
2019-12-23T16-34-22,,24.5,35.0,342,482.024256
2019-12-23T16-34-25,,0,0,360,481.890432
2019-12-23T16-34-28,,0,0,1876,482.63136
2019-12-23T16-34-32,,24.5,36.0,1462,482.60198399999996
2019-12-23T16-34-35,,0,0,918,482.7651839999999
2019-12-23T16-34-38,,24.5,36.0,1183,482.46816
2019-12-23T16-34-42,,24.5,35.0,1391,479.311872
2019-12-23T16-34-45,,0,0,914,480.16377600000004
2019-12-23T16-34-48,,24.5,36.0,782,478.956096
2019-12-23T16-34-52,,0,0,729,479.311872
2019-12-23T16-34-55,,24.5,36.0,694,479.42284800000004
2019-12-23T16-34-58,,24.5,36.0,1123,478.792896
2019-12-23T16-35-02,,24.5,36.0,1751,478.76351999999997
2019-12-23T16-35-05,,0,0,523,478.68191999999993
2019-12-23T16-35-08,,24.5,36.0,1937,478.68191999999993
2019-12-23T16-35-11,,0,0,524,478.68191999999993
2019-12-23T16-35-15,,24.5,36.0,367,478.76351999999997
2019-12-23T16-35-18,,24.5,36.0,902,478.76351999999997
2019-12-23T16-35-21,,0,0,1856,479.311872
2019-12-23T16-35-25,,24.4,36.0,2186,482.49100799999997
2019-12-23T16-35-28,,24.5,36.0,1845,482.87615999999997
2019-12-23T16-35-31,,24.5,36.0,1548,483.12095999999997
2019-12-23T16-35-35,,24.5,35.0,1488,482.68358399999994
2019-12-23T16-35-38,,24.5,35.0,2549,479.8896
2019-12-23T16-35-41,,24.5,35.0,705,477.183744
2019-12-23T16-35-45,,24.5,36.0,855,481.149504
2019-12-23T16-35-48,,0,0,747,481.5346559999999
2019-12-23T16-35-51,,24.5,36.0,383,481.20825599999995
2019-12-23T16-35-54,,24.5,36.0,449,481.564032
2019-12-23T16-35-58,,24.5,36.0,741,481.28985599999993
2019-12-23T16-36-01,,24.5,36.0,996,480.659904
2019-12-23T16-36-04,,24.5,36.0,746,480.659904
2019-12-23T16-36-08,,24.6,36.0,726,480.60767999999996
2019-12-23T16-36-11,,24.5,36.0,875,480.68928
2019-12-23T16-36-14,,24.5,36.0,1057,480.85247999999996
